noc,workshop.number,constant,decrease,increase,sum,not_increase,y,binned_y
Restaurant and food service managers,2,0.30434782608695654,0.17391304347826086,0.5217391304347826,23.0,0.4782608695652174,increase,increase
"Senior managers - financial, communications and other business services",1,0.3333333333333333,0.2857142857142857,0.38095238095238093,21.0,0.6190476190476191,increase,not_increase
"Senior managers - financial, communications and other business services",2,0.6521739130434783,0.17391304347826086,0.17391304347826086,23.0,0.8260869565217391,constant,not_increase
"Senior managers - financial, communications and other business services",3,0.4,0.3,0.3,20.0,0.7,constant,not_increase
"Senior managers - financial, communications and other business services",4,0.2631578947368421,0.3157894736842105,0.42105263157894735,19.0,0.5789473684210527,increase,not_increase
"Senior managers - financial, communications and other business services",5,0.4,0.4,0.2,15.0,0.8,constant,not_increase
"Senior managers - financial, communications and other business services",6,0.5217391304347826,0.21739130434782608,0.2608695652173913,23.0,0.7391304347826086,constant,not_increase
Shippers and receivers,5,0.13333333333333333,0.7333333333333333,0.13333333333333333,15.0,0.8666666666666667,decrease,not_increase
"Steamfitters, pipefitters and sprinkler system installers",6,0.5652173913043478,0.13043478260869565,0.30434782608695654,23.0,0.6956521739130435,constant,not_increase
"Store shelf stockers, clerks and order fillers",5,0.3333333333333333,0.6,0.06666666666666667,15.0,0.9333333333333333,decrease,not_increase
"Supervisors, petroleum, gas and chemical processing and utilities",1,0.6190476190476191,0.14285714285714285,0.23809523809523808,21.0,0.7619047619047619,constant,not_increase
"Supervisors, petroleum, gas and chemical processing and utilities",2,0.43478260869565216,0.30434782608695654,0.2608695652173913,23.0,0.7391304347826086,constant,not_increase
"Supervisors, petroleum, gas and chemical processing and utilities",3,0.25,0.1,0.65,20.0,0.35,increase,increase
"Supervisors, petroleum, gas and chemical processing and utilities",4,0.3684210526315789,0.3157894736842105,0.3157894736842105,19.0,0.6842105263157895,constant,not_increase
"Supervisors, petroleum, gas and chemical processing and utilities",5,0.2,0.7333333333333333,0.06666666666666667,15.0,0.9333333333333333,decrease,not_increase
"Supervisors, petroleum, gas and chemical processing and utilities",6,0.34782608695652173,0.08695652173913043,0.5652173913043478,23.0,0.43478260869565216,increase,increase
Technical sales specialists - wholesale trade,2,0.17391304347826086,0.08695652173913043,0.7391304347826086,23.0,0.2608695652173913,increase,increase
Underground production and development miners,1,0.19047619047619047,0.8095238095238095,0.0,21.0,1.0,decrease,not_increase
Underground production and development miners,2,0.21739130434782608,0.5652173913043478,0.21739130434782608,23.0,0.782608695652174,decrease,not_increase
Underground production and development miners,3,0.3,0.55,0.15,20.0,0.85,decrease,not_increase
Underground production and development miners,4,0.2631578947368421,0.5789473684210527,0.15789473684210525,19.0,0.8421052631578947,decrease,not_increase
Underground production and development miners,5,0.2,0.6666666666666666,0.13333333333333333,15.0,0.8666666666666667,decrease,not_increase
Underground production and development miners,6,0.30434782608695654,0.34782608695652173,0.34782608695652173,23.0,0.6521739130434783,decrease,not_increase
